name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
FINAL FANTASY XV WINDOWS EDITION,06/03/2018,Square Enix,Square Enix,"RPG,Open World,JRPG",13789,4046,3499
Secret of Mana,15/02/2018,Square Enix,Square Enix,"JRPG,RPG,Singleplayer",936,518,2999
Yakuza 0,01/08/2018,SEGA,SEGA,"Action,Story Rich,Beat 'em up",9023,1343,1499
Trials® Rising,26/02/2019,RedLynx,Ubisoft,"Racing,Bikes,Platformer",412,346,2099
The Escapists 2,21/08/2017,"Team17 Digital Ltd,Mouldy Toof Studios",Team17 Digital Ltd,"Strategy,Multiplayer,Pixel Graphics",5085,1167,1999
The Crew™ 2,28/06/2018,Ivory Tower,Ubisoft,"Racing,Open World,Driving",4030,3916,4999
Transference™,18/09/2018,Ubisoft,Ubisoft,"Adventure,Indie,VR",117,39,2099
FINAL FANTASY XV WINDOWS EDITION MOD ORGANIZER,07/06/2018,Square Enix,Square Enix,Free to Play,12,14,0
Interplanetary: Enhanced Edition,02/08/2017,Team Jolly Roger,Team17 Digital Ltd,"Strategy,Simulation,Indie",225,56,1099
ZONE OF THE ENDERS THE 2nd RUNNER : M∀RS / アヌビス ゾーン・オブ・エンダーズ : マーズ,04/09/2018,"Konami Digital Entertainment,Cygames, Inc.",Konami Digital Entertainment,"Action,Mechs,Violent",197,83,2499
My Time At Portia,15/01/2019,Pathea Games,Team17 Digital Ltd,"Open World,Crafting,RPG",10695,1108,2499
High Hell,23/10/2017,"Terri Vellmann,Doseone",Devolver Digital,"Action,Indie,Violent",465,73,719
GRIS,13/12/2018,Nomada Studio,Devolver Digital,"Atmospheric,Great Soundtrack,Beautiful",5747,242,1449
Forged Battalion,14/08/2018,Petroglyph,Team17 Digital Ltd,"Strategy,RTS,Simulation",492,264,1549
Tokyo Dark,07/09/2017,Cherrymochi,Square Enix,"Anime,Visual Novel,Female Protagonist",537,54,1359
Sword Legacy Omen,13/08/2018,"Firecast Studio,Fableware Narrative Design",Team17 Digital Ltd,"RPG,Strategy,Indie",141,36,1499
Tales of Wedding Rings VR,24/09/2018,Square Enix,Square Enix,"Casual,Anime,VR",23,5,1699
Super Bomberman R,12/06/2018,Konami Digital Entertainment,Konami Digital Entertainment,"Action,Multiplayer,Singleplayer",80,84,3499
Mugsters,17/07/2018,Reinkout Games,Team17 Digital Ltd,"Action,Indie,Co-op",32,4,999
LEFT ALIVE™,05/03/2019,Square Enix,Square Enix,"Action,Violent,Gore",99,394,4499
Reigns: Her Majesty,06/12/2017,"Nerial,Synaptic Insight Technology Systems",Devolver Digital,"Indie,Casual,Female Protagonist",527,90,209
L.A. Noire: The VR Case Files,15/12/2017,Rockstar Games,Rockstar Games,"Adventure,Action,Violent",258,151,2499
Umiro,28/03/2018,Diceroll Studios,Devolver Digital,"Adventure,Strategy,Indie",35,7,209
Overcooked! 2,07/08/2018,"Ghost Town Games Ltd.,Team17 Digital Ltd",Team17 Digital Ltd,"Multiplayer,Casual,Local Co-Op",5362,1274,1999
Crash Bandicoot™ N. Sane Trilogy,29/06/2018,"Vicarious Visions,Iron Galaxy",Activision,"3D Platformer,Remake,Classic",3555,237,3499
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,04/09/2018,Square Enix,Square Enix,"JRPG,RPG,Turn-Based Combat",3663,281,3999
Shadow of the Tomb Raider,14/09/2018,"Eidos-Montréal,Crystal Dynamics,Nixxes software",Square Enix,"Adventure,Action,Lara Croft",10832,4408,4499
Shenmue I & II,21/08/2018,D3T,SEGA,"Adventure,Open World,Action",732,65,2499
The Messenger,30/08/2018,Sabotage,Devolver Digital,"Action,Indie,Metroidvania",1846,90,1549
PRO EVOLUTION SOCCER 2019,29/08/2018,Konami Digital Entertainment,Konami Digital Entertainment,"Sports,Soccer,Multiplayer",1619,2217,2499
Discovery Tour by Assassin’s Creed®: Ancient Egypt,20/02/2018,Ubisoft Montreal,Ubisoft,"Adventure,RPG,Action",66,18,1249
Block'hood VR,19/04/2018,"Plethora-Project LLC,General Arcade",Devolver Digital,"Simulation,Strategy,Indie",4,2,1139
THE QUIET MAN™,01/11/2018,"Square Enix,Human Head Studios",Square Enix,"Violent,Action,FMV",118,236,1199
Valkyria Chronicles 4,25/09/2018,SEGA,SEGA,"Strategy,RPG,Anime",1407,197,4999
Shining Resonance Refrain,09/07/2018,SEGA,SEGA,"RPG,Adventure,Anime",255,78,4499
Assassin's Creed® Odyssey,05/10/2018,"Ubisoft Quebec,Ubisoft Montreal,Ubisoft Bucharest,Ubisoft Singapore,Ubisoft Montpellier,Ubisoft Kiev,Ubisoft Shanghai",Ubisoft,"Open World,Action,RPG",20771,4528,4999
Yakuza Kiwami,19/02/2019,SEGA,SEGA,"Action,Adventure,RPG",1449,116,1499
The Awesome Adventures of Captain Spirit,25/06/2018,DONTNOD Entertainment,Square Enix,"Free to Play,Story Rich,Choices Matter",8077,667,0
Football Manager 2019,02/11/2018,Sports Interactive,SEGA,"Simulation,Sports,Management",2963,1004,3799
Football Manager 2019 Touch,01/11/2018,Sports Interactive,SEGA,"Sports,Simulation,Football",66,38,2199
Football Manager 2019: The Hashtag United Challenge,21/12/2018,Sports Interactive,SEGA,"Sports,Simulation",13,7,0
Catherine Classic,10/01/2019,ATLUS,SEGA,"Sexual Content,Nudity,Anime",1073,187,1499
Reigns: Game of Thrones,18/10/2018,Nerial,Devolver Digital,"RPG,Indie,Adventure",454,124,299
DISSIDIA FINAL FANTASY NT Free Edition,12/03/2019,"Square Enix,KOEI TECMO GAMES CO., LTD.",Square Enix,"Free to Play,Action,Multiplayer",620,1005,0
Far Cry® New Dawn,15/02/2019,"Ubisoft Montreal,Ubisoft Kiev,Ubisoft Shanghai",Ubisoft,"Open World,Action,FPS",2755,1161,3799
Love Thyself - A Horatio Story,01/04/2019,AMPLITUDE Studios,SEGA,"Indie,Casual,Visual Novel",81,1,0
PRO EVOLUTION SOCCER 2019 LITE,13/12/2018,Konami Digital Entertainment,Konami Digital Entertainment,"Sports,Free to Play,Multiplayer",423,637,0
The Settlers® : Heritage of Kings - History Edition,22/01/2019,Ubisoft Blue Byte,Ubisoft,"Strategy,RTS,City Builder",19,13,999
The Settlers® : Rise of an Empire - History Edition,22/01/2019,Ubisoft Blue Byte,Ubisoft,"Strategy,City Builder",15,12,999
The Settlers® 7 : History Edition,22/01/2019,Ubisoft Blue Byte,Ubisoft,Strategy,9,18,1249
Anniversary Collection Arcade Classics,18/04/2019,Konami Digital Entertainment,Konami Digital Entertainment,"Action,Casual,Arcade",20,10,1599
